iter	Accuracy	MultiClass
222	0.7481257285	0.565213617
223	0.7482360503	0.5650848372
224	0.7483511687	0.5649212037
225	0.7484087279	0.5648338644
226	0.7486533545	0.5646142279
227	0.7486341681	0.56450458
228	0.7486725409	0.5643443871
229	0.7487348967	0.5641886179
230	0.7488404219	0.5640780585
231	0.7487972525	0.5639919905
232	0.7488596083	0.5638234289
233	0.7489651335	0.5637351648
234	0.7491617941	0.5636226201
235	0.7492097601	0.5634948911
236	0.7492481329	0.5633813219
237	0.7493248785	0.5632519051
238	0.7492817091	0.5631287833
239	0.7492769125	0.5630541479
240	0.7493440649	0.562961658
241	0.7494064207	0.5628514545
242	0.7495599119	0.5626968199
243	0.7495599119	0.5625940412
244	0.7495838949	0.5624629574
245	0.7495599119	0.5623977953
246	0.7496174711	0.5622891119
247	0.7496654371	0.5621650075
248	0.7496846235	0.5621096951
249	0.7497469793	0.5619928667
250	0.7497853521	0.5618991925
251	0.7499436399	0.5617430909
252	0.7500491652	0.5615974826
253	0.7501307074	0.561538703
254	0.7501882666	0.5614143223
255	0.7503561476	0.5612530858
256	0.7504808592	0.5611195258
257	0.7505288252	0.5610105165
258	0.7506247572	0.5608849964
259	0.7506679266	0.5608106331
260	0.7507158926	0.5607106359
261	0.750711096	0.5605193647
262	0.7508645872	0.5603520858
263	0.7508837736	0.5602375762
264	0.7509605192	0.5601028455
265	0.7509940954	0.5600213256
266	0.75114279	0.5598669144
267	0.751238722	0.5597496341
268	0.7514113996	0.5595767699
269	0.7514641622	0.5594443591
270	0.7515792806	0.5593182002
271	0.7516656194	0.5591903314
272	0.7517135854	0.55905896
273	0.7519150426	0.5589279068
274	0.751934229	0.5587934885
275	0.7520253644	0.5586274226
276	0.7519869916	0.5585321412
277	0.7521356862	0.5584023123
278	0.7520829236	0.5583544787
279	0.7520877202	0.5582890498
280	0.7521692624	0.5582136942
281	0.752174059	0.55809501
282	0.752269991	0.5579629185
283	0.7522028386	0.5578769866
284	0.752174059	0.5578304135
285	0.7522364148	0.5577298493
286	0.7523611264	0.5575595404
287	0.7523851094	0.5574749976
288	0.7524186856	0.5573369747
289	0.7524810414	0.5572434453
290	0.7525433972	0.5571269905
291	0.752533804	0.5570240281
292	0.7525386006	0.5569540852
293	0.7526201428	0.5568856636
294	0.7526441258	0.5568049632
295	0.7526441258	0.5566654838
296	0.7526441258	0.5566268181
297	0.7527352612	0.5565275877
298	0.7527304646	0.5564275633
299	0.7528024136	0.556281558
300	0.7528983457	0.5561632354
301	0.7529463117	0.5561102161
302	0.7529846845	0.5559569953
303	0.7530806165	0.5558557556
304	0.7531669553	0.5557599374
305	0.7532772771	0.5555339713
306	0.7532005315	0.5554930189
307	0.7532005315	0.555443357
308	0.7531765485	0.5553885512
309	0.7532293111	0.5552912151
310	0.7532868703	0.5551804191
311	0.7534403615	0.5550592026
312	0.7534259717	0.5548788523
313	0.7535650731	0.5548077269
314	0.7536130391	0.5547449423
315	0.7536466153	0.5547071149
316	0.7536897847	0.5545684925
317	0.7536993779	0.5544937718
318	0.7537569371	0.5544038417
319	0.7537953099	0.5542888764
320	0.7538960385	0.5541827666
321	0.7538384793	0.5540527367
322	0.7539344113	0.5539524047
323	0.7540255467	0.5538586834
324	0.7540111569	0.5537884726
325	0.7540255467	0.5536936596
326	0.7540543263	0.5536284976
327	0.7541118855	0.553584496
328	0.7542461903	0.5534103474
329	0.7543804951	0.5533162032
330	0.7543756985	0.5532706633
331	0.7543133427	0.55317754
332	0.7544380543	0.5530646198
333	0.7544524441	0.5530103508
334	0.7545387829	0.5527875814
335	0.7544908169	0.5527056866
336	0.7545291897	0.5526546548
337	0.7545435795	0.552624299
338	0.7546539013	0.5524580612
339	0.7547210537	0.5523917333
340	0.7547498333	0.5522980885
341	0.7548361721	0.5522298624
342	0.7549369007	0.5521145341
343	0.7548793415	0.5520272096
344	0.7549656803	0.5519307896
345	0.7550088497	0.5518425865
